"stock_id","annual_return","volatility","sharpe_ratio","beta","max_drawdown","created_at"
"910000","0.46","0.39","1.06","0.8","-0.18","2025-04-21"
"910001","-0.25","0.29","-1.02","0.88","-0.34","2025-04-21"
"910002","0.22","0.23","0.75","0.61","-0.12","2025-04-21"
"910003","0.1","0.31","0.17","0.39","-0.2","2025-04-21"
"910004","-0.09","0.31","-0.44","1.04","-0.29","2025-04-21"
"910005","-0.27","0.45","-0.7","1.3","-0.42","2025-04-21"
"910006","-0.46","0.7","-0.72","1.85","-0.57","2025-04-21"
"910007","-0.33","0.54","-0.7","1.06","-0.53","2025-04-21"
"910008","0.36","0.24","1.31","0.75","-0.13","2025-04-21"
"910009","-0.25","0.35","-0.85","0.98","-0.35","2025-04-21"
"910010","0.18","0.31","0.43","0.79","-0.26","2025-04-21"
"910011","-0.28","0.51","-0.64","1.54","-0.36","2025-04-21"
"910012","-0.28","0.53","-0.62","0.82","-0.36","2025-04-21"
"910013","-0.53","0.79","-0.73","1.56","-0.62","2025-04-21"
"910014","-0.3","0.33","-1.05","0.89","-0.4","2025-04-21"
"910015","-0.44","0.5","-0.97","1.58","-0.54","2025-04-21"
"910016","0.01","0.25","-0.15","0.95","-0.22","2025-04-21"
"910017","0.33","0.21","1.35","0.44","-0.11","2025-04-21"
"910018","0.21","0.29","0.56","0.62","-0.14","2025-04-21"
"910019","-0.02","0.37","-0.18","1.24","-0.3","2025-04-21"
"910020","-0.01","0.36","-0.16","1.24","-0.29","2025-04-21"
"910021","0.54","0.2","2.47","0.38","-0.1","2025-04-21"
"910022","-0.06","0.39","-0.27","1.39","-0.29","2025-04-21"
"910023","0.12","0.27","0.27","0.78","-0.23","2025-04-21"
"910024","0.45","0.21","1.92","0.42","-0.08","2025-04-21"
"910025","0.41","0.21","1.73","0.38","-0.13","2025-04-21"
"910026","0.16","0.37","0.31","1.22","-0.29","2025-04-21"
"910027","0.12","0.27","0.27","1.02","-0.12","2025-04-21"
"910028","0.34","0.31","0.95","0.62","-0.27","2025-04-21"
"910029","0.33","0.26","1.09","0.49","-0.19","2025-04-21"
"910030","0.15","0.34","0.3","1.27","-0.26","2025-04-21"
"910031","-0.11","0.29","-0.54","0.9","-0.23","2025-04-21"
"910032","0.08","0.32","0.1","0.47","-0.23","2025-04-21"
"910033","0.17","0.44","0.28","1.19","-0.25","2025-04-21"
"910034","-0.06","0.51","-0.21","1.38","-0.32","2025-04-21"
"910035","-0.07","0.28","-0.42","1.3","-0.21","2025-04-21"
"910036","0.22","0.23","0.75","0.66","-0.12","2025-04-21"
"910037","-0.49","0.65","-0.83","1.47","-0.56","2025-04-21"
"910038","0.19","0.53","0.27","1.45","-0.39","2025-04-21"
"910039","0.17","0.38","0.32","1.25","-0.33","2025-04-21"
"910040","-0.34","0.62","-0.62","1.73","-0.5","2025-04-21"
"910041","-0.28","0.52","-0.63","1.45","-0.43","2025-04-21"
"910042","0.07","0.29","0.08","0.74","-0.22","2025-04-21"
"910043","-0.18","0.31","-0.73","0.64","-0.35","2025-04-21"
"910044","0.08","0.71","0.05","1.42","-0.5","2025-04-21"
"910045","0.43","0.23","1.67","0.69","-0.12","2025-04-21"
"910046","0.12","0.27","0.27","0.69","-0.21","2025-04-21"
"910047","0.78","0.25","2.93","0.41","-0.09","2025-04-21"
"910048","0.44","0.18","2.19","0.44","-0.1","2025-04-21"
"910049","0.14","0.34","0.27","1.42","-0.26","2025-04-21"
"910050","0.23","0.21","0.87","0.83","-0.13","2025-04-21"
"910051","0.24","0.23","0.84","0.53","-0.09","2025-04-21"
"910052","0.17","0.24","0.51","0.77","-0.2","2025-04-21"
"910053","-0.18","0.24","-0.94","0.92","-0.3","2025-04-21"
"910054","0.86","0.69","1.18","1.19","-0.3","2025-04-21"
"910055","0.24","0.43","0.45","0.99","-0.28","2025-04-21"
"910056","-0.25","0.3","-0.99","0.79","-0.36","2025-04-21"
"910057","0.11","0.33","0.19","1.06","-0.28","2025-04-21"
"910058","-0.25","0.39","-0.76","0.58","-0.3","2025-04-21"
"910059","-0.12","0.24","-0.69","0.44","-0.2","2025-04-21"
"910061","-0.14","0.55","-0.34","1.14","-0.44","2025-04-21"
"910062","-0.25","0.51","-0.58","1.12","-0.43","2025-04-21"
"910063","-0.39","0.33","-1.32","0.71","-0.52","2025-04-21"
"910064","0.2","0.29","0.53","1.15","-0.24","2025-04-21"
"910065","0.1","0.45","0.12","1.53","-0.39","2025-04-21"
"910066","0.45","0.27","1.49","0.94","-0.18","2025-04-21"
"910067","-0.05","0.49","-0.2","1.34","-0.29","2025-04-21"
"910068","0.33","0.33","0.86","1.2","-0.21","2025-04-21"
"910069","0.4","0.25","1.41","0.82","-0.16","2025-04-21"
"910070","0.07","0.36","0.06","0.34","-0.21","2025-04-21"
"910071","0.3","0.86","0.29","1.53","-0.41","2025-04-21"
"910072","0.24","0.23","0.84","0.83","-0.12","2025-04-21"
"910073","0.46","0.22","1.88","0.78","-0.11","2025-04-21"
"910075","-0.36","0.6","-0.68","1.54","-0.44","2025-04-21"
"910076","-0.22","0.32","-0.83","0.64","-0.39","2025-04-21"
"910077","0.17","0.37","0.33","1.07","-0.35","2025-04-21"
"910078","0.38","0.36","0.93","0.68","-0.23","2025-04-21"
"910079","-0.13","0.5","-0.35","1.36","-0.29","2025-04-21"
"910080","-0.35","0.62","-0.64","2.03","-0.49","2025-04-21"
"910081","0.22","0.24","0.72","0.7","-0.15","2025-04-21"
"910082","-0.1","0.28","-0.52","0.17","-0.27","2025-04-21"
"910083","0.21","0.47","0.35","1.38","-0.28","2025-04-21"
"910084","0.28","0.25","0.93","0.56","-0.13","2025-04-21"
"910085","-0.07","0.46","-0.25","1.29","-0.28","2025-04-21"
"910086","0.29","0.63","0.39","1.94","-0.42","2025-04-21"
"910087","0.11","0.38","0.17","1.14","-0.32","2025-04-21"
"910088","-0.17","0.36","-0.6","0.98","-0.34","2025-04-21"
"910089","0.23","0.25","0.73","0.33","-0.12","2025-04-21"
"910090","0.38","0.35","0.95","1.21","-0.23","2025-04-21"
"910091","-0.36","0.39","-1.04","1.14","-0.41","2025-04-21"
"910092","0.21","0.21","0.78","0.4","-0.11","2025-04-21"
"910093","-0.16","0.38","-0.54","0.5","-0.3","2025-04-21"
"910094","0.4","0.23","1.54","0.56","-0.18","2025-04-21"
"910095","-0.01","0.38","-0.15","0.71","-0.29","2025-04-21"
"910096","-0.54","0.69","-0.85","1.2","-0.59","2025-04-21"
"910097","0.06","0.36","0.04","1.01","-0.21","2025-04-21"
"910098","0.32","0.46","0.59","0.8","-0.21","2025-04-21"
"910099","-0.08","0.28","-0.45","0.75","-0.2","2025-04-21"
"910100","-0.18","0.4","-0.57","1.01","-0.33","2025-04-21"
"910101","0.18","0.23","0.58","0.61","-0.14","2025-04-21"
"910102","0.03","0.21","-0.08","0.25","-0.11","2025-04-21"
"910103","-0.03","0.3","-0.26","0.55","-0.27","2025-04-21"
"910104","0.16","0.29","0.39","0.86","-0.2","2025-04-21"
"910105","0.24","0.29","0.67","0.99","-0.2","2025-04-21"
"910106","0.2","0.25","0.61","0.85","-0.17","2025-04-21"
"910107","0.15","0.4","0.26","1.16","-0.31","2025-04-21"
"910108","0.14","0.41","0.23","1.28","-0.29","2025-04-21"
"910109","0.01","0.24","-0.15","0.23","-0.19","2025-04-21"
"910110","0.33","0.19","1.49","0.45","-0.1","2025-04-21"
"910111","0.32","0.18","1.52","0.35","-0.09","2025-04-21"
"910112","0.29","0.18","1.35","0.45","-0.16","2025-04-21"
"910113","0.04","0.28","-0.02","0.99","-0.26","2025-04-21"
"910114","0.14","0.22","0.42","0.31","-0.2","2025-04-21"
"910115","-0.1","0.33","-0.44","0.8","-0.26","2025-04-21"
"910116","-0.11","0.27","-0.58","0.28","-0.25","2025-04-21"
"910117","-0.29","0.38","-0.89","0.94","-0.35","2025-04-21"
"910118","0.33","0.21","1.35","0.26","-0.17","2025-04-21"
