stock_id,trailing_pe,forward_pe,price_to_book,price_to_sales,peg_ratio,profit_margin,return_on_equity,return_on_assets,revenue_growth,eps_growth,dividend_yield,debt_to_equity,current_ratio,market_cap,operating_cash_flow,free_cash_flow,created_at
910000,18.687326,17.173418,19.049423,3.0746768,,0.16981001,0.91850996,0.05929,0.001,-0.23,0.028630344,350.77,1.411,75560181760.0,1819000064.0,1678875008.0,2025-04-22
910001,17.365013,15.487715,4.8298984,2.4245057,,0.13976,0.28627002,0.13533,-0.077,-0.201,0.021066278,12.132,1.552,9257005056.0,581800000.0,390000000.0,2025-04-22
910002,17.209423,25.48062,4.7769217,5.43035,,0.31886,,,0.04,0.082,0.017553315,31.889,,229942738944.0,,,2025-04-22
910003,72.80147,14.284213,91.96789,5.5313716,,0.07594,0.62292,0.084910005,0.056,,0.03696521,2021.968,0.66,311604281344.0,18805999616.0,19977500672.0,2025-04-22
910004,23.351484,20.115139,6.0622025,2.6651833,,0.114300005,0.26965,0.11576,0.054,0.068,0.020520717,26.706,1.477,179157598208.0,10407318528.0,8601244672.0,2025-04-22
910005,22.984148,16.933334,11.559646,6.839417,,0.30635,0.47284,0.17194,0.103,1.921,0.0,50.118,1.185,150720233472.0,9363999744.0,8357374976.0,2025-04-22
910006,86.4728,16.955452,2.4364026,5.5719204,,0.06364,0.02893,0.019019999,0.242,-0.277,0.0,4.032,2.616,143671967744.0,3040999936.0,3506249984.0,2025-04-22
910007,4.2173,4.9236455,1.9502438,0.60200626,,0.13675,0.10055,0.02733,-0.002,,0.07071429,351.227,0.797,7391432704.0,2752000000.0,-6709125120.0,2025-04-22
910008,11.168224,15.0,2.2664056,3.174495,,0.28757998,0.22639999,0.03384,0.43,6.097,0.019053062,37.796,1.824,60083666944.0,2707000064.0,4852624896.0,2025-04-22
910009,23.44954,18.095575,4.8386183,4.5605955,,0.19271,0.20614,0.08392999,0.014,-0.086,0.009535208,58.736,2.197,29794371584.0,1696999936.0,1090625024.0,2025-04-22
910010,15.191551,18.525759,3.498734,4.953045,,0.31877002,0.22396,0.048249997,-0.022,0.013,0.027486607,80.976,1.113,59608412160.0,3831800064.0,-3522674944.0,2025-04-22
910011,27.927006,25.506666,8.500963,6.486569,,0.23852,0.31948,0.07671,0.118,,0.0,27.271,1.691,72013889536.0,4518000128.0,3145625088.0,2025-04-22
910012,22.349602,10.9405985,2.2475383,2.7328231,,0.12651,0.10657,0.03924,0.025,-0.132,0.0,95.003,1.233,10907156480.0,1519170944.0,642833152.0,2025-04-22
910013,,29.626795,0.82944024,1.1926571,,-0.21933001,-0.11432,-0.02142,-0.477,,0.0303659,35.769,1.954,6413544448.0,702067968.0,-1232473600.0,2025-04-22
910014,42.894444,22.444767,0.74323994,4.395338,,0.10339,0.02269,0.0141900005,0.05,,0.068532944,56.93,2.576,13728631808.0,1504524032.0,1419939840.0,2025-04-22
910015,31.109623,17.010233,3.3459547,3.195046,,0.10537,0.112629995,0.06866,0.04,-0.163,0.0,3.097,1.223,12777027584.0,738230976.0,620710528.0,2025-04-22
910016,18.436949,16.141207,7.2272673,2.9399765,,0.1584,0.42391,0.11255,0.054,0.215,0.015575566,143.313,2.041,11090179072.0,675000000.0,465737504.0,2025-04-22
910017,22.511152,18.747679,2.21927,4.0068064,,0.17332001,0.10014,0.02645,0.016,0.24,0.0323832,151.585,0.436,15951095808.0,1167000064.0,-1091374976.0,2025-04-22
910018,11.316657,10.10352,2.620839,0.82801527,,0.0728,0.23586,0.03618,0.113,0.295,0.019684408,38.943,0.391,53080748032.0,8931000320.0,7449750016.0,2025-04-22
910019,18.750935,16.804688,5.655849,5.403034,,0.28604,0.32908002,0.1674,0.118,0.283,0.0054174853,8.655,1.837,1891159244800.0,125298999296.0,56580751360.0,2025-04-22
910020,19.0,17.089386,5.7452483,5.4082084,,0.28604,0.32908002,0.1674,0.118,0.283,0.005338316,8.655,1.837,1892970266624.0,125298999296.0,56580751360.0,2025-04-22
910021,8.943425,10.932711,-44.17674,4.868969,,0.55097,,0.20511,0.016,0.475,0.06940829,,0.514,99541204992.0,8753000448.0,4630249984.0,2025-04-22
910022,31.330326,28.222765,6.429471,2.9784322,,0.09287,0.24290001,0.07438,0.105,0.883,0.0,54.342,1.064,1900227198976.0,115877003264.0,44635873280.0,2025-04-22
910023,17.31818,12.056961,3.6354961,1.0254922,,0.05894,0.20721,0.05138,-0.003,0.216,0.054242745,197.441,1.259,13885163520.0,1252000000.0,691500032.0,2025-04-22
910024,22.323528,20.054878,2.1983824,3.7214644,,0.16139,0.100080006,0.026630001,0.205,0.31,0.027777778,153.508,0.663,27256006656.0,2763000064.0,-2150874880.0,2025-04-22
910025,19.267025,18.252972,2.1263845,2.9711528,,0.15045,0.113859996,0.02861,0.026,0.975,0.033829242,170.451,0.445,58594996224.0,6804299776.0,-2010387456.0,2025-04-22
910026,17.5297,16.590609,5.6356854,2.9350972,,0.16561002,0.34273,0.03727,0.088,0.06,0.012040741,170.351,1.574,182119858176.0,13262000128.0,,2025-04-22
910027,19.882063,12.059612,1.153561,1.7866375,,-0.05195,0.057540003,0.00754,0.088,8.656,0.019652305,23.008,0.662,48286261248.0,3272999936.0,16325749760.0,2025-04-22
910028,31.9479,32.512516,30.508568,10.42297,,0.22267,0.31768,0.04532,-0.086,13.483,0.029726133,455.544,0.449,105555501056.0,5290500096.0,4369562624.0,2025-04-22
910029,27.636616,26.085089,2.8050597,6.24369,,0.22438,0.10443,0.03457,0.164,0.398,0.020410521,136.702,0.386,29245446144.0,2044999936.0,-1192625024.0,2025-04-22
910030,14.027367,12.008413,8.532945,2.5531507,,0.18972,0.68314004,0.02264,0.115,1.841,0.012833869,70.39,2.601,45767778304.0,6594999808.0,2836875008.0,2025-04-22
910031,26.743677,21.724657,3.789305,5.358974,,0.19826001,0.1497,0.07501,0.018,0.129,0.007214171,24.075,1.24,37197602816.0,1828848000.0,1517073024.0,2025-04-22
910032,36.659603,13.390421,25.28595,4.510949,,0.122370005,0.67553,0.064,0.109,-0.183,0.032885123,1035.886,1.257,150773956608.0,11489999872.0,13725875200.0,2025-04-22
910033,33.989586,30.212963,8.059775,5.3150463,,0.15923999,0.26709998,0.10873,0.298,0.451,0.008649159,73.865,2.372,80909352960.0,2814700032.0,1635900032.0,2025-04-22
910034,56.92332,23.629972,2.5197284,9.532877,,0.16747999,0.04429,0.02616,-0.036,-0.154,0.021429796,21.725,1.93,89014444032.0,3840506112.0,2997512704.0,2025-04-22
910035,46.233585,27.504993,4.3553233,10.598524,,0.22622,0.10032,0.058369998,0.096,0.029,0.0,14.222,3.008,26971219968.0,795740032.0,670905344.0,2025-04-22
910036,29.129704,20.921795,12.838944,5.167392,,0.16906999,0.9564,0.06616,0.229,0.438,0.007416772,278.258,1.019,81117716480.0,3035000064.0,3406625024.0,2025-04-22
910037,7.008855,5.785491,1.101045,0.63139343,,0.08488,0.22242,0.07467,0.245,-0.8,0.06557377,100.865,1.152,5980558848.0,3620000000.0,1848249984.0,2025-04-22
910038,16.836971,14.553657,4.4037466,2.88218,,0.1768,0.22670001,0.01844,-0.526,-0.461,0.015464349,103.066,1.507,74613874688.0,3252999936.0,,2025-04-22
910039,31.644444,23.990372,44.921135,7.7170815,,0.24295,1.3652,0.22518998,0.04,0.071,0.0051252847,145.0,0.923,3054035795968.0,108293996544.0,93833871360.0,2025-04-22
910040,18.099346,14.288959,6.0396953,4.1277866,,0.22952999,0.35186002,0.15558,0.068,-0.413,0.011803328,35.372,2.675,114071379968.0,7277000192.0,3825750016.0,2025-04-22
910041,7.5122128,7.490688,1.3970981,0.61715555,,0.09064999,0.17297001,0.05511,-0.002,-0.704,0.0,97.832,1.525,12165987328.0,2446000128.0,1540749952.0,2025-04-22
910042,8.212243,10.165376,1.7233005,2.0410228,,0.24725,0.22014,0.044499997,0.144,-0.599,0.0,13.886,1.073,35595436032.0,6672999936.0,10380000256.0,2025-04-22
