stock_id,annual_return,volatility,sharpe_ratio,beta,max_drawdown,created_at
910009,-0.05,0.35,-0.27,0.98,-0.37,2025-04-26
910039,0.07,0.34,0.08,1.25,-0.33,2025-04-26
910003,0.07,0.26,0.1,0.39,-0.2,2025-04-26
910011,-0.12,0.59,-0.28,1.54,-0.52,2025-04-26
910002,0.06,0.24,0.07,0.61,-0.25,2025-04-26
910042,0.26,0.3,0.72,0.74,-0.22,2025-04-26
910004,-0.02,0.31,-0.21,1.04,-0.29,2025-04-26
910005,-0.06,0.46,-0.23,1.3,-0.46,2025-04-26
910034,0.05,0.41,0.02,1.38,-0.32,2025-04-26
910043,-0.19,0.37,-0.63,0.64,-0.54,2025-04-26
910050,0.11,0.24,0.28,0.83,-0.22,2025-04-26
910049,0.1,0.42,0.13,1.42,-0.26,2025-04-26
910024,0.04,0.23,-0.02,0.42,-0.27,2025-04-26
910025,0.06,0.24,0.07,0.38,-0.3,2025-04-26
910007,-0.22,0.47,-0.56,1.06,-0.63,2025-04-26
910008,0.21,0.25,0.67,0.75,-0.2,2025-04-26
910027,0.11,0.3,0.22,1.02,-0.26,2025-04-26
910046,0.02,0.31,-0.08,0.69,-0.45,2025-04-26
910045,0.24,0.24,0.82,0.69,-0.19,2025-04-26
910012,-0.15,0.39,-0.5,0.82,-0.47,2025-04-26
910013,-0.36,0.73,-0.55,1.56,-0.84,2025-04-26
910015,-0.25,0.67,-0.44,1.58,-0.66,2025-04-26
910018,0.15,0.31,0.34,0.62,-0.27,2025-04-26
910016,0.07,0.31,0.08,0.95,-0.25,2025-04-26
910040,0.07,0.54,0.05,1.73,-0.5,2025-04-26
910023,-0.02,0.28,-0.23,0.78,-0.34,2025-04-26
910006,-0.02,0.7,-0.09,1.85,-0.63,2025-04-26
910031,0.08,0.25,0.15,0.9,-0.23,2025-04-26
910032,0.07,0.26,0.1,0.47,-0.25,2025-04-26
910030,0.19,0.33,0.44,1.27,-0.26,2025-04-26
910028,-0.01,0.33,-0.16,0.62,-0.42,2025-04-26
910022,0.04,0.46,-0.01,1.39,-0.48,2025-04-26
910044,0.31,0.6,0.44,1.42,-0.5,2025-04-26
910035,0.02,0.37,-0.06,1.3,-0.32,2025-04-26
910036,0.05,0.25,0.03,0.66,-0.25,2025-04-26
910001,0.02,0.32,-0.07,0.88,-0.34,2025-04-26
910037,-0.27,0.63,-0.5,1.47,-0.7,2025-04-26
910010,0.05,0.33,0.02,0.79,-0.32,2025-04-26
910033,0.24,0.33,0.59,1.19,-0.25,2025-04-26
910038,0.34,0.46,0.64,1.45,-0.39,2025-04-26
910041,-0.21,0.51,-0.5,1.45,-0.61,2025-04-26
